Job Title,Company Name,Location,Required Skills,Post Date and Time,More Info
Sales & Marketing Executive,Brisk Forwarding,"Gairidhara, Kathmandu, Central Development Region, Nepal","Leadership, Marketing, Ms, Office, Hindi, Communication, Sales, Planning, Analytical, Sales","March 31, 2021, 11:55 p.m.",https://merojob.com/sales-marketing-executive-117/
Database Administrator,Deerwalk Services,"Kathmandu, Nepal","Decision, Making, Communication, Analytical, Time, Management","April 8, 2021, 11:55 p.m.",https://merojob.com/database-administrator-23/
Senior ReactJs Developer,Algo Craft,"Maitidevi, Kathmandu","Javascript, Svn, Git, Restful, Apis, React.Js","March 31, 2021, 11:55 p.m.",https://merojob.com/senior-reactjs-developer-3/
Marketing Executive,Titanium Technologies,Kathmandu,"Communication, Interpersonal, Marketing, Presentation, Negotiation","March 31, 2021, 11:55 p.m.",https://merojob.com/marketing-execuitve-2/
Area Sales Manager,Prime International,"Kathmandu, Chitwan (NarayanGhat) , Koshi, Mechi","Customer, Relationship, Management, Communication, Multitasking, Teamwork, Time, Management, Sales","March 31, 2021, 11:55 p.m.",https://merojob.com/area-sales-manager-210/
Software Marketing Executive,Cloudtai,"Shantinagar, Kathmandu","Interpersonal, Communication, Marketing, Time, Management, Problem, Solving","April 3, 2021, 11:55 p.m.",https://merojob.com/software-marketing-executive-2/
Customer Service Representative,Foodmandu,Kathmandu,"Customer, Relationship, Management, Communication, Multitasking, Teamwork, Time, Management, Customer, Service","March 31, 2021, 11:55 p.m.",https://merojob.com/customer-service-representative-145/
Frontend Developer,Chulo Solutions,Kathmandu,"Html, Css, Javascript, React, Angular, Communication","April 5, 2021, 11:55 p.m.",https://merojob.com/frontend/
Backend Developer,Chulo Solutions,Kathmandu,"Data, Analytics, Backend, Django, Framework, Laravel, Framework, Python","April 5, 2021, 11:55 p.m.",https://merojob.com/backend-developers-3/
Fiber Technician,Smarten Technologies,Kathmandu,NULL,"April 7, 2021, 11:55 p.m.",https://merojob.com/fiber-technician-13/
Brand Officer,Saurabh Group,Kathmandu,"Planning, Communication, Organizational, Teamwork","April 2, 2021, 11:55 p.m.",https://merojob.com/brand-officer-34/
Account Assistant / Teller,NULL,"Thapathali, Kathmandu","Interpersonal, Communication, Organizational, Microsoft, Office, Suite","April 7, 2021, 11:55 p.m.",https://merojob.com/account-assistant-teller/
Kitchen Assistant,New Business Age,"Thapathali, Kathmandu","Communication, Time, Management, Problem, Solving","April 7, 2021, 11:55 p.m.",https://merojob.com/kitchen-assistant-female/
Business Development Manager,Executive Search- merojob,NULL,"Good, Communication, Skills, Good, Business, Knowledge, Tact, And, Diplomacy, Good, Leadership, Skills","March 30, 2021, 11:55 p.m.",https://merojob.com/business-development-manager-270/
Dot Net Developer,Executive Search- merojob,kathmandu,"Dot, Net, Producing, Code, Using, .Net, (C#), Sql, Server, Classic, Asp, Asp.Net","March 30, 2021, 11:55 p.m.",https://merojob.com/dot-net-developer-65/
WordPress Developer,Chuchuro Firm,"Sinamangal, Kathmandu","Php, Html, Css, Jquery, Css3, Wordpress","April 6, 2021, 11:55 p.m.",https://merojob.com/wordpress-developer-220/
परामर्शदाता (स्थानीय तहमा प्रकोप …,USAID’s Strengthening Systems for Better Health (SSBH) Activity,Surkhet and Selected Municipalities,"Interpersonal, Communication, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/-4005/
परामर्शदाता (स्थानीय स्तरमा स्वास्थ्य…,USAID’s Strengthening Systems for Better Health (SSBH) Activity,Surkhet and Selected Municipalities,"Interpersonal, Communication, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/-4006/
परामर्शदाता (स्वास्थ्य आपूर्ति व्यवस्थ…,USAID’s Strengthening Systems for Better Health (SSBH) Activity,Surkhet and Selected Municipalities,"Interpersonal, Communication, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/-4004/
Social Media Executive,Max Lagence,Kupondole Lalitpur,"Interpersonal, Public, Relations, Communication, Teamwork, Customer, Service","April 1, 2021, 11:55 p.m.",https://merojob.com/social-media-executive-16/
Secondary Level Part Time Teach…,Valley Public Higher Secondary School,Budhanilkantha,"Presentation, Leadership, Communication, Teamwork","April 1, 2021, 11:55 p.m.",https://merojob.com/secondary-level-part-time-teacher/
Pre-Primary In Charge (Nursery …,Valley Public Higher Secondary School,Budhanilkantha,"Interpersonal, Communication, Multitasking, Time, Management, Problem, Solving","April 1, 2021, 11:55 p.m.",https://merojob.com/pre-primary-in-charge-nursery-to-grade-5/
Python Developer,Fusemachines Nepal,"Kamaladi, Kathmandu","Python, Debugging, Html5, Css3","April 6, 2021, 11:55 p.m.",https://merojob.com/python-developer-34/
Graphic Designer,Claé Creatives,Kathmandu,"Infographics, Adobe, Illustrator, Adobe, Indesign, Adobe, Photoshop","April 5, 2021, 11:55 p.m.",https://merojob.com/graphic-designer-820/
Principal,Manjughoksha Academy,"Kathmandu, Nepal","Interpersonal, Critical, Thinking, Decision, Making, Communication, Time, Management","April 1, 2021, 11:55 p.m.",https://merojob.com/principal-91/
Health Systems Officers,USAID’s Strengthening Systems for Better Health (SSBH) Activity,NULL,"Interpersonal, Writing, Team, Leadership, Problem, Solving","March 30, 2021, 11:55 p.m.",https://merojob.com/health-systems-officers-2/
Technical Writer,Deerwalk Services,NULL,"Interpersonal, Communication, Google, Docs, Microsoft, Office, Suite","April 3, 2021, 11:55 p.m.",https://merojob.com/technical-writer-26/
Senior Backend JavaScript Devel…,Proshore Nepal,"Tinkune Marg, Kathmandu, Nepal","Analytical, Communication, Teamwork, Problem, Solving","April 2, 2021, 11:55 p.m.",https://merojob.com/senior-backend-javascript-developer/
UI/UX Developer,Proshore Nepal,"Tinkune, Kathmandu","Html, Css, Meticulous, Sketch, Problem, Solving","April 2, 2021, 11:55 p.m.",https://merojob.com/uiux-developer-17/
Data Engineer,Fusemachines Nepal,"Kamaladi, Kathmandu","Big, Data, Apache, Spark, Aws/Gcp","March 30, 2021, 11:55 p.m.",https://merojob.com/big-data-engineer-4/
Java Developer,Software Development House Nepal,Kupondole,"Html, Jquery, Javascript, Java, And, Object, Oriented, Programming","April 1, 2021, 11:55 p.m.",https://merojob.com/java-developer-129/
Secondary Maths Teacher,The British School,Kathmandu,"Teaching, Communication, Time, Management, Problem, Solving","March 30, 2021, 11:55 p.m.",https://merojob.com/secondary-maths-teacher-temporary-position/
Secondary EAL Learning Support,The British School,Kathmandu,"Teaching, Communication, Multitasking, Time, Management","March 30, 2021, 11:55 p.m.",https://merojob.com/secondary-eal-support-teacher/
Senior Full Stack Node/React JS…,Executive Search- merojob,"Kathmandu, Bagmati","Aws/Azure/Gcp, Reactjs-Framework, Javascript, (Es6), Docker-Sqs/Sns-Aws, Lambda","April 1, 2021, 2:05 p.m.",https://merojob.com/senior-full-stack-nodereact-js-developer-4/
Lead Engineer,Executive Search- merojob,"Kathmandu, Bagmati","Saas, Ec2-Ebs-S3-Sns-Rds-Lambda-Fargate, Docker-Kubernetes, React/Node, Js, Aws-Azure-Google, Cloud","April 1, 2021, 3:10 p.m.",https://merojob.com/lead-engineer-3/
BBA Co-ordinator,Executive Search- merojob,kathmandu,"Effective, Teamwork, Process, Oriented., Effective, Time, Management., Organizing, Skills","April 10, 2021, 11:55 p.m.",https://merojob.com/bba-co-ordinator-5/
Linux System Engineer,Verisk Nepal,Kathmandu,"Linux, Bash, Communication, Python","March 31, 2021, 11:55 p.m.",https://merojob.com/linux-system-engineer/
Java Developer,Verisk Nepal,Lalitpur,"Aws, Java, Postgresql, Troubleshooting","March 31, 2021, 11:55 p.m.",https://merojob.com/java-developer-126/
Python Developer,Verisk Nepal,Lalitpur,"Python, Django, Framework, React, Postgresql","March 31, 2021, 11:55 p.m.",https://merojob.com/python-developer-33/
Database Administrator,Verisk Nepal,Kathmandu,"Postgresql, Mysql, Database, Administration","March 31, 2021, 11:55 p.m.",https://merojob.com/database-administrator-22/
Data QA Engineer,Verisk Nepal,Lalitpur,"Automation, Tester, Database, Python, Javascript","March 31, 2021, 11:55 p.m.",https://merojob.com/data-qa-engineer/
ETL Developer,Verisk Nepal,Kathmandu,"Etl, Sql, Programming","March 31, 2021, 11:55 p.m.",https://merojob.com/etl-developer-6/
Dot Net Developer,Verisk Nepal,Kathmandu,"Python, Aws, Services, Communication, Asp.Net","March 31, 2021, 11:55 p.m.",https://merojob.com/dot-net-developer-60/
Senior NOSQL Administrator,Verisk Nepal,Lalitpur,"Nosql, Troubleshooting, Multitasking, Problem, Solving","March 31, 2021, 11:55 p.m.",https://merojob.com/senior-nosql-administrator/
Sales Representative,CM Trading Enterprises,"Baneshwor, Shankhamul, Koteshwor, Bhaktapur","Interpersonal, Communication, Multitasking, Time, Management","April 14, 2021, 11:55 p.m.",https://merojob.com/sales-representative-191/
Graphic Designer,Khalti Digital Wallet,"Bakhundole, Lalitpur","Interpersonal, Marketing, Management, Communication, Photoshop","April 9, 2021, 11:55 p.m.",https://merojob.com/graphic-designer-826/
Corporate Finance Manager/ Inte…,NULL,Kathmandu,"Presentation, Communication, Documentation","April 6, 2021, 11:55 p.m.",https://merojob.com/asst-legal-officerlegal-officer/
Medical Call Center Representat…,International Communication Company,Kathmandu Nepal,"Communication, Microsoft, Office, Suite, Interpersonal","April 10, 2021, 11 p.m.",https://merojob.com/medical-call-center-representative/
Counsellor,US Broadways Consult,Kathmandu,"Counselling, Leadership, Decision, Making, Communication, Problem, Solving","April 3, 2021, 11:55 p.m.",https://merojob.com/female-counsellor/
Graphic Designer,Weemigo Nepal,Kathmandu,"Indesign, Multitasking, Photoshop, Illustrator","April 6, 2021, 11:55 p.m.",https://merojob.com/graphic-designer-824/
Finance and Administration Offi…,Agriterra Nepal,"Kathmandu, Nepal","Interpersonal, Administration, Accounting, Microsoft, Office, Suite","April 14, 2021, 11:55 p.m.",https://merojob.com/finance-and-administration-officer-15/
Account Management Associate,Genese Solution,Kathmandu,"Interpersonal, Communication, Teamwork, Account, Management, Sales, Technology, Customer, Service","April 9, 2021, 11:55 p.m.",https://merojob.com/account-management-associate/
Program Documentation Specialist,Helen Keller International,"Kathmandu, Nepal","Interpersonal, Communication, Time, Management","April 2, 2021, 11:55 p.m.",https://merojob.com/program-documentation-specialist-2/
Fellows for Disaster Risk Reduc…,Youth Innovation Lab,Kathmandu,"Interpersonal, Communication, Time, Management","April 14, 2021, 5 p.m.",https://merojob.com/fellows-for-disaster-risk-reduction-young-leaders-fellowship-2/
Sales & Marketing Manager,Hard Rock Cafe,Kathmandu,"Communication, Interpersonal, Management, Marketing","April 9, 2021, 11:55 p.m.",https://merojob.com/sales-marketing-manager-76/
Executive Chef,Hard Rock Cafe,Kathmandu,"Interpersonal, Management, Communication","April 9, 2021, 11:55 p.m.",https://merojob.com/executive-chef-84/
General Manager,Hard Rock Cafe,Kathmandu,"Marketing, Technical, &, Reasoning, Management, Communication, Language","April 9, 2021, 11:55 p.m.",https://merojob.com/general-manager-232/
Networking Associate,Sage Nepal,Work from Home/Nepal Office (Sanepa),"Interpersonal, Communication, Teamwork, Problem, Solving","April 5, 2021, 11:55 p.m.",https://merojob.com/networking-associate/
Systems Engineer (Senior Techno…,Tech One Global,Kathmandu,"Presentation, Project, Management, Analytical, Problem, Solving","April 8, 2021, 11:55 p.m.",https://merojob.com/systems-engineer-senior-technology-specialist/
Nepali teacher (Secondary Level),Kathmandu Vidya Kunja Secondary School,Tokha,"Curriculum, Development, Presentation, Leadership, Communication","April 5, 2021, 11:55 p.m.",https://merojob.com/nepali-teacher-secondary/
Sales Associate -US Based (Nigh…,Maven Global Ventures,Lalitpur,"Spreadsheets, Communication, Negotiation, Microsoft, Office, Suite","April 5, 2021, 11:55 p.m.",https://merojob.com/sales-associate-us-based-4/
Web Designer,Maven Global Ventures,Lalitpur,"Jquery, Illustration, Photoshop, Css3","April 2, 2021, 12:55 a.m.",https://merojob.com/web-designer-497/
Web Developer,Maven Global Ventures,Lalitpur,"Html5, Jquery, Css, Javascript, Sketch, Bootstrap, Sql, Figma, Abstract, Photoshop, Gumby, Illustration, Nosql","April 2, 2021, 11:55 p.m.",https://merojob.com/web-developerweb-designer-2/
Senior Software Developer,BM Nepal,"Lainchaur, close the the British Embassy","Php, Javascript, Node.Js, React.Js, Mysql","April 13, 2021, 11:55 p.m.",https://merojob.com/senior-software-developer-22/
Software Developer,BM Nepal,"Lainchaur, close to the British Embassy","Laravel, Framework, Php, Javascript, React, Angular, Node.Js, Mysql","April 13, 2021, 11:55 p.m.",https://merojob.com/software-developer-132/
महानिर्देशक,Federation of Handicraft Associations of Nepal,"Kathmandu, Nepal","Interpersonal, Communication, Time, Management","April 12, 2021, 4 p.m.",https://merojob.com/-4060/
Customer Consultant,Yodha,New Baneshwor,"Proficient, In, English, Creative, Thinking, Writing","April 13, 2021, 11:55 p.m.",https://merojob.com/customer-consultant-5/
Communication Intern,Progress Inc.,"Kathmandu, Nepal","Interpersonal, Communication, Teamwork","April 9, 2021, 5 p.m.",https://merojob.com/communication-intern-3/
Account Officer,Option Educational Consultancy,Kathmandu,"Analytical, Communication, Teamwork, Accounting","April 5, 2021, 11:55 p.m.",https://merojob.com/account-officer-418/
Community Development and Outre…,Progress Inc.,"Kathmandu, Nepal","Interpersonal, Management, Communication, Teamwork","April 9, 2021, 5 p.m.",https://merojob.com/community-development-and-outreach-intern/
Japanese Language Teacher,LeadX Nepal,"Mid-Valley International, Kathmandu",NULL,"April 2, 2021, 5 p.m.",https://merojob.com/japanese-language-teacher-13/
Librarian,NULL,"Imadole, Lalitpur","Communication, Multitasking, Time, Management, Problem, Solving","April 2, 2021, 11:55 p.m.",https://merojob.com/librarian-138/
Graphic Designer,Genese Solution,Kathmandu,"Communication, Indesign, Photoshop, Illustration","April 5, 2021, 11:55 p.m.",https://merojob.com/graphic-designer-823/
Senior Officer – Strategy Manag…,EBPearls,"EB Pearls Group, Corporate Office, Lalitpur","Problem, Solving, Communication, Analytical, Microsoft, Office, Suite","April 14, 2021, 11:55 p.m.",https://merojob.com/senior-officer-strategy-management/
Area Sales Representative,NULL,Lalitpur,"Communication, Interpersonal, Marketing","April 2, 2021, 11:55 p.m.",https://merojob.com/area-sales-representatives-3/
Technical Sales Executive,NULL,Lalitpur,"Communication, Interpersonal, Marketing, Technical","April 2, 2021, 11:55 p.m.",https://merojob.com/technical-sale-executive-2/
Senior Finance and Admin Coordi…,Vertical Biodiversity Fund,Dharan,NULL,"April 10, 2021, 11:55 p.m.",https://merojob.com/senior-finance-and-admin-coordinator-3/
Sales & Operation Officer,NULL,"Sundhara, Kathmandu","Sales, Communication, Interpersonal, Multitasking, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/sales-operation-officer/
Senior Accountant,Surya Paints & Chemical Industry,"Kathmandu, Nepal","Account, Management, Analytical, Time, Management, Taxation, Microsoft, Office, Suite","April 2, 2021, 11:55 p.m.",https://merojob.com/senior-accountant-280/
Marketing Officer,Surya Paints & Chemical Industry,Kathmandu,"Leadership, Project, Coordination, Communication, Teamwork, Time, Management, Project, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/engineers-27/
Agri-Business Officer,aQysta Nepal,"Lalitpur, Nepal","Planning, Communication, Organizational, Teamwork","April 2, 2021, 11:55 p.m.",https://merojob.com/agri-business-officer/
Marketing Manager,Lama Estate,"Boudha 6, Kathmandu","Marketing, Communication, Indesign, Photoshop, Illustration","April 1, 2021, 11:55 p.m.",https://merojob.com/marketing-manager-627/
Mid level .Net Developer,Teksewa,Kathmandu,"Webapi, Xamarin, Webforms, Asp.Net, .Netcore","April 1, 2021, 11:55 p.m.",https://merojob.com/mid-level-net-developer-xamarin-development-is-a-plus/
Training & Implementation Offic…,Aegis Software,NULL,"Training, And, Development, Management, Communication, Hardware, &, Networking, Basic, Hotel, &, Restaurant, Basic, Accounting, Basic","April 1, 2021, 11:55 p.m.",https://merojob.com/training-implementation-executive/
Primary Level Grade Teacher,Kathmandu Vidya Kunja Secondary School,Tokha,"Interpersonal, English, Language, Proficiency, Communication, Early, Childhood, Care, Writing","April 1, 2021, 11:55 p.m.",https://merojob.com/primary-level-grade-teacher-8/
Art Teacher,Kathmandu Vidya Kunja Secondary School,Tokha,"Communication, Presentation, Organizational, Problem, Solving","April 1, 2021, 11:55 p.m.",https://merojob.com/art-teacher-16/
Receptionist,Kathmandu Vidya Kunja Secondary School,Tokha,"Interpersonal, Communication, Record, Management, Data, Entry","April 1, 2021, 11:55 p.m.",https://merojob.com/receptionist-1406/
Librarian,Kathmandu Vidya Kunja Secondary School,Dhapasi,"Data, Entry, Child-Centered, Learning, Library, Management, Record, Management","April 1, 2021, 11:55 p.m.",https://merojob.com/librarian-135/
Math Teacher Primary/Lower Seco…,Kathmandu Vidya Kunja Secondary School,Tokha,"Communication, Interpersonal, Presentation, Leadership","April 1, 2021, 11:55 p.m.",https://merojob.com/math-teacher-primary-level-4/
Graphic and Video Designer,Creative Touch Garment Industry,"Ropeway Sadak, Kathmandu","Social, Media, Communication, Graphicdesign, Teamwork, Videodesign","April 1, 2021, 11:55 p.m.",https://merojob.com/graphic-and-video-designer-2/
Area Sales Manager,Call Mobility,"Nepalgunj , Butwal","Leadership, Communication, Negotiation, Organizational, Customer, Service, Ms-Office","April 1, 2021, 11:55 p.m.",https://merojob.com/area-sales-manager-211/
IT Executive,Team Quest,Kathmandu,"Interpersonal, Communication, Organizational, Teamwork","April 9, 2021, 11:55 p.m.",https://merojob.com/it-executive-24/
Pre/Primary English Teacher,Apple Seeds School,"Jorpati, Kathmandu","Basic, Computer, Skills, Communication, English, Spoken, Montessori, Teaching, Interpersonal","April 1, 2021, 11:55 p.m.",https://merojob.com/preprimary-english-teacher-2/
Finance Executive,Sage Nepal,Sanepa,"Problem, Solving, Analytical, Taxation, Accounting, Microsoft, Office, Suite","April 1, 2021, 11:55 p.m.",https://merojob.com/finance-executive-24/
Data Entry,Emerald Group,Tinkune,"Computer, Operation, Tally, Data, Entry, Ms-Office","April 1, 2021, 11:55 p.m.",https://merojob.com/data-entry-39/
Country Director,Population Services International/Nepal,Kathmandu,NULL,"April 7, 2021, 11:55 p.m.",https://merojob.com/country-director-26/
HR Officer,Population Services International/Nepal,Kathmandu,NULL,"April 7, 2021, 11:55 p.m.",https://merojob.com/hr-officer-203/
Android Developer,Saathi Online,Kathmandu,NULL,"April 1, 2021, 11:55 p.m.",https://merojob.com/android-developer-172/
Marketing officer,Saathi Online,Kathmandu,"Interpersonal, Customer, Relationship, Management, Communication, Multitasking, Ms-Office","April 1, 2021, 11:55 p.m.",https://merojob.com/marketing-officer-1074/
Marketing Head,Saathi Online,Kathmandu,"Communication, Marketing, Public, Speaking","April 1, 2021, 11:55 p.m.",https://merojob.com/marketing-head-32/
Graphic Designer,Saathi Online,Kathmandu,NULL,"April 1, 2021, 11:55 p.m.",https://merojob.com/graphic-designer-816/
Market Representative,Seven States Property,"Kathmandu, Lalitpur, Bhaktapur","Communication, Marketing, Customer, Relationship, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/market-representative-107/
Lecturer,Advanced College of Engineering and Management,"Kupondole, Lalitpur","Teaching, Interpersonal, Communication, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/lecturer-137/
Lab Instructor,Advanced College of Engineering and Management,"Kupondole, Lalitpur","Interpersonal, Communication, Time, Management, Problem, Solving","March 31, 2021, 11:55 p.m.",https://merojob.com/lab-instructor-7/
Lab Assistant,Advanced College of Engineering and Management,"Kupondole, Lalitpur","Interpersonal, Communication, Time, Management, Teaching","March 31, 2021, 11:55 p.m.",https://merojob.com/lab-assistant-71/
Statistical Programmer,Numeric Mind,"Kathmandu, Nepal","Statistical, Modelling, Data, Analysis, Python, Computer, Science","April 3, 2021, 11:55 p.m.",https://merojob.com/statistical-programmer/
Technical Support Officer,MiDas Technologies,Kathmandu,"Technical, Communication, Problem, Solving, Interpersonal","April 7, 2021, 11:55 p.m.",https://merojob.com/technical-support-officer-28/
Operation Incharge,Jump KTM,Mandikatar,"Communication, Account, Management, Tally, Analytical, Accounting","March 31, 2021, 11:55 p.m.",https://merojob.com/operation-incharge-11/
Data Entry,J & T Associates,"Kathmandu, Nepal","Microsoft, Office, Suite, Communication, Time, Management, Problem, Solving","March 31, 2021, 11:55 p.m.",https://merojob.com/data-entry-38/
Associate Developer,FOCUSONE Payment Solutions,"Kamaladi, Kathmanu","Leadership, Communication, Teamwork, Documentation","March 31, 2021, 11:55 p.m.",https://merojob.com/associate-developer/
GCE A Level Program Coordinator,Little Angels College of Management ( LACM),Lalitpur,"Interpersonal, Communication, Leadership, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/gce-a-level-program-coordinator/
Assistant Boys Warden,United Academy,Kathmandu,"Leadership, Communication, Decision, Making, Problem, Solving","March 30, 2021, 11:55 p.m.",https://merojob.com/assistant-boys-warden/
Communication Manager,Everest Experience and Assistance,"Kathmandu, Nepal",NULL,"April 2, 2021, 11:55 p.m.",https://merojob.com/communication-manager-5/
React Native for Mobile,Sharelook PTE LTD,Kathmandu,"Api, Gateway, Javascript, Node.Js, Cognito, Aws, Amplify, Mobile, Application, Development","April 7, 2021, 11:55 p.m.",https://merojob.com/react-native-for-mobile-7/
Digital Marketing Expert,Sharelook PTE LTD,"Kathmandu, Nepal","Audacity, Creative, Premiere, Pro, Search, Engine, Optimization, (Seo), Final, Cut, Pro, Macos, Photoshop","April 8, 2021, 11:55 p.m.",https://merojob.com/digital-marketing-expert-20/
General Manager,Revive Leisure Park,"Mahalaxmisthan, Lagankhel, Lalitpur",Hospitality,"March 30, 2021, 11:55 p.m.",https://merojob.com/general-manager-230/
Audit Officer,NULL,"New Baneshwor,Kathmandu","Communication, Auditing, Taxation, Analytical, Accounting","March 30, 2021, 11:55 p.m.",https://merojob.com/audit-officer-7/
Manager,NULL,"Dumarwana, Bara, Nepal","Interpersonal, Communication, Time, Management, Problem, Solving","April 7, 2021, 11:55 p.m.",https://merojob.com/-4001/
Creative Content Writer,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","Creative, Thinking, Decision, Making, Communication, Organizational, Teamwork","April 6, 2021, 11:55 p.m.",https://merojob.com/creative-content-writer-40/
Research Consultancy,CWISH,Kathmandu,"Interpersonal, Communication, Time, Management","April 4, 2021, 6 p.m.",https://merojob.com/research-consultancy/
Senior Backend Engineer (PHP),MAQE BANGKOK,Kathmandu Nepal,"Php, Javascript, Docker, Aws, Mysql, Node.Js, Codeigniter, Laravel","April 7, 2021, 11:55 p.m.",https://merojob.com/senior-backend-engineer-php/
Business Development Executive,Diyo A.I. Technology,"Baluwatar, Kathmandu","Interpersonal, Marketing, Management, Communication, Photoshop","April 5, 2021, 11:55 p.m.",https://merojob.com/business-development-executive-187/
Architect,Shrestha Consultant,Lalitpur,"Architect, 3D, Designing, Auotocad","April 6, 2021, 11:55 p.m.",https://merojob.com/architect-338/
Automobile Overseer,Pacific Engineering Co.,Outside Kathmandu valley,NULL,"March 30, 2021, 11:55 p.m.",https://merojob.com/automobile-overseer/
Instructor/Programmer,NULL,Putalisadak,"Instruction, Training, And, Development, Management, Verbal, Communication","March 31, 2021, 11:55 p.m.",https://merojob.com/instructorprogrammer/
Logistic and Admin Assistant,Eco Concern,Khumaltar Lalitpur,NULL,"April 6, 2021, 11:55 p.m.",https://merojob.com/project-manager-384/
Quality Analyst,INFICARE,Kathmandu,"Quality, Assurance, Record, Management, Problem, Solving","April 6, 2021, 11:55 p.m.",https://merojob.com/quality-analyst-47/
Laravel Developer,Initiative,Pulchowk-Lalitpur,"Php, Html, Javascript, Css3, Analytical","April 1, 2021, 11:55 p.m.",https://merojob.com/laravel-developer-67/
Assistant Recovery Audit Analys…,Flextecs Nepal,Kathmandu,NULL,"March 30, 2021, 11:55 p.m.",https://merojob.com/assistant-recovery-audit-analyst-entry-level/
Architect,Nepal Center for Engineering and Research,Kathmandu,"Revit, Microsoft, Excel, Microsoft, Word, Autocad, Sketchup","April 2, 2021, 11:55 p.m.",https://merojob.com/architect-336/
Sales Representative,Himalayan Life Plastic,Kathmandu,"Communication, Interpersonal, Management, Marketing","April 2, 2021, 11:55 p.m.",https://merojob.com/sales-representative-188/
Officer - Program (Prevention),Karuna Foundation Nepal,Bhojpur,"Communication, Multitasking, Time, Management, Analytical","April 2, 2021, 5 p.m.",https://merojob.com/officer-program-prevention-3/
Officer - IT,Karuna Foundation Nepal,Sunsari,"Communication, Multitasking, Time, Management","April 2, 2021, 5 p.m.",https://merojob.com/officer-it-6/
Officer-Monitoring and Evaluati…,Karuna Foundation Nepal,Sankhuwasabha,"Communication, Analytical, Time, Management, Microsoft, Office, Suite","April 2, 2021, 5 p.m.",https://merojob.com/officer-monitoring-and-evaluation-me-team-leader/
Credit Analyst,HLE Nepal,"Jawalakhel,Lalitpur","Interpersonal, Communication, Resilient, Energetic, Solution, Focus","April 26, 2021, 11:55 p.m.",https://merojob.com/credit-analyst-7/
Assistant Project Manager,IIMI Asia Pacific,"Kathmandu, Nepal","Interpersonal, Time, Management, Microsoft, Office, Suite, Communication","March 31, 2021, 11:55 p.m.",https://merojob.com/assistant-project-manager-14/
Human Resources Manager,IIMI Asia Pacific,"Kathmandu, Nepal","Organizational, Time, Management, Interpersonal, Microsoft, Office, Suite","March 31, 2021, 11:55 p.m.",https://merojob.com/human-resources-manager-23/
Marketing & Public Relation Off…,Genius IB World School,Lalitpur,"Communication, Multitasking, Teamwork, Time, Management, Customer, Service","March 31, 2021, 11:55 p.m.",https://merojob.com/marketing-and-public-relation-officer-4/
Librarian,Genius IB World School,Lalitpur,"Communication, Time, Management, Library, Management, Multitasking, Teamwork","March 31, 2021, 11:55 p.m.",https://merojob.com/librarian-136/
Primary Grade Teacher,Genius IB World School,Lalitpur,"Communication, Multitasking, Classroom, Management, Teamwork, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/primary-grade-teacher-23/
Middle School Teacher (VI to VI…,Genius IB World School,Lalitpur,"Communication, Time, Management, Multitasking, Teamwork, Classroom, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/middle-school-teacher-vi-to-viii/
Administrative Officer,Genius IB World School,Lalitpur,"Communication, Multitasking, Administrative, Customer, Service, Temworking","March 31, 2021, 11:55 p.m.",https://merojob.com/administrative-officer-135/
Receptionist,Aspire Academy,Kathmandu,"Data, Entry, Interpersonal, Communication, Customer, Service, Ms-Office","April 1, 2021, 11:55 p.m.",https://merojob.com/receptionist-1408/
Peace Advisor (Thematic team de…,GIZ,Kathmandu,"Leadership, Ms, Office, Team, Building, Report, Writing, Research, Conducting","March 31, 2021, 11:55 p.m.",https://merojob.com/peace-advisor-thematic-team-dealing-with-past-civil-peace-service/
Peace Advisor (Psycho- social w…,GIZ,"Pokhara, Nepal","Leadership, Ms, Office, Team, Building, Report, Writing, Research, Conducting","March 31, 2021, 11:55 p.m.",https://merojob.com/peace-advisor-psycho-social-work-civil-peace-service/
Peace Advisor (Non Violent Comm…,GIZ,Kathmandu,"Leadership, Ms, Office, Team, Building, Report, Writing, Research, Conducting","March 31, 2021, 11:55 p.m.",https://merojob.com/peace-advisor-non-violent-communication-civil-peace-service/
Regional Behaviour Change Commu…,Population Services International/Nepal,Based in Eastern Regional Hub,NULL,"March 30, 2021, 11:55 p.m.",https://merojob.com/regional-behaviour-change-communication-officer/
Senior Monitoring & Evaluation …,Population Services International/Nepal,Based in Eastern Regional Hub,NULL,"March 30, 2021, 11:55 p.m.",https://merojob.com/senior-monitoring-evaluation-me-officer/
Android Developer,EBPearls,Kandevsthan,"Mvc, Architecture, Mvvm","April 5, 2021, 11:55 p.m.",https://merojob.com/android-developer-173/
Quality Analyst,EBPearls,Kandevsthan,"Agile/Scrum, Quality, Assurance, Record, Management, Problem, Solving","April 5, 2021, 11:55 p.m.",https://merojob.com/quality-analyst-46/
